date     ,min_temp ,rainfall ,windspeed ,humidity ,cloudcover              ,OLS
1/21/21  ,      61 ,     0.0 ,        9 ,      87 ,Cloudy                  ,0.1749252000102636
2/26/21  ,      69 ,     0.0 ,       22 ,      58 ,Partly Cloudy / Windy   ,0.17346679184532401
4/12/21  ,      61 ,     0.0 ,        7 ,      17 ,Fair                    ,0.17248658950176818
3/9/21   ,      58 ,     0.0 ,       22 ,      51 ,Mostly Cloudy / Windy   ,0.1723773115510203
1/22/21  ,      63 ,     0.0 ,        6 ,      78 ,Cloudy                  ,0.17167271563299982
4/18/21  ,      53 ,     0.0 ,       10 ,      40 ,Mostly Cloudy           ,0.17080256445530442
10/4/21  ,      73 ,     0.0 ,       14 ,      30 ,Partly Cloudy           ,0.17015342833586364
2/7/21   ,      43 ,     0.0 ,       15 ,      52 ,Fair                    ,0.16935519403223895
2/22/21  ,      51 ,     0.0 ,        5 ,      17 ,Fair                    ,0.1684088949091866
1/16/21  ,      41 ,     0.0 ,       12 ,      18 ,Fair                    ,0.16749849496098915
2/27/21  ,      70 ,     0.0 ,       20 ,      74 ,Cloudy                  ,0.16723681416824218
7/21/21  ,      77 ,     0.0 ,        3 ,      67 ,Mostly Cloudy           ,0.16557350034836665
3/8/21   ,      47 ,     0.0 ,       12 ,      42 ,Mostly Cloudy           ,0.1645444975066442
1/18/21  ,      42 ,     0.0 ,       14 ,      52 ,Mostly Cloudy           ,0.16416197345169947
3/4/21   ,      45 ,     0.0 ,       15 ,      33 ,Partly Cloudy           ,0.16329361119128064
7/1/21   ,      79 ,     0.0 ,        0 ,      54 ,Mostly Cloudy           ,0.1632549239715028
8/12/21  ,      79 ,     0.2 ,        0 ,      47 ,Mostly Cloudy           ,0.1632047760255812
3/5/21   ,      55 ,     0.0 ,        9 ,      66 ,Mostly Cloudy           ,0.16307239407009932
12/24/21 ,      64 ,     0.0 ,       23 ,      54 ,Mostly Cloudy / Windy   ,0.1625360480442634
3/25/21  ,      64 ,     0.0 ,       15 ,      25 ,Fair                    ,0.16239693669698238
10/1/21  ,      73 ,     0.3 ,        8 ,      79 ,Cloudy                  ,0.16237605686573395
1/7/21   ,      45 ,     0.0 ,       16 ,      47 ,Partly Cloudy           ,0.16132250436363785
9/6/21   ,      76 ,     0.0 ,        0 ,      50 ,Mostly Cloudy           ,0.16103628000539416
1/17/21  ,      41 ,     0.0 ,       10 ,      18 ,Fair                    ,0.16091542933481007
6/4/21   ,      73 ,     0.3 ,        8 ,      71 ,Mostly Cloudy           ,0.1595744212801736
11/4/21  ,      52 ,     0.0 ,       15 ,      72 ,Cloudy                  ,0.15935949710073197
6/19/21  ,      79 ,     0.0 ,        3 ,      37 ,Partly Cloudy           ,0.1589617208193241
1/8/21   ,      42 ,     0.0 ,       12 ,      52 ,Mostly Cloudy           ,0.1585983108297704
1/4/21   ,      49 ,     0.0 ,        3 ,      43 ,Fair                    ,0.1581894331960157
3/18/21  ,      50 ,     0.0 ,       18 ,      29 ,Fair                    ,0.15766636611052975
10/2/21  ,      76 ,     0.0 ,        3 ,      65 ,Mostly Cloudy           ,0.15730657593156533
1/15/21  ,      45 ,     0.0 ,       16 ,      24 ,Fair                    ,0.15709151844410219
2/21/21  ,      46 ,     0.0 ,       10 ,      51 ,Cloudy                  ,0.15648800200779367
12/9/21  ,      69 ,     0.0 ,       21 ,      57 ,Partly Cloudy / Windy   ,0.1561287717189607
1/29/21  ,      45 ,     0.0 ,       14 ,      58 ,Partly Cloudy           ,0.1559721764586317
4/28/21  ,      76 ,     0.0 ,       21 ,      67 ,Cloudy / Windy          ,0.1548380352645044
8/27/21  ,      77 ,     0.8 ,       14 ,      57 ,Mostly Cloudy           ,0.15425488365435822
3/22/21  ,      57 ,     0.0 ,       21 ,      59 ,Mostly Cloudy / Windy   ,0.15383390307717804
5/13/21  ,      65 ,     0.0 ,        7 ,      52 ,Cloudy                  ,0.1524372666591191
3/30/21  ,      66 ,     0.0 ,       21 ,      65 ,Mostly Cloudy / Windy   ,0.152145471106811
10/6/21  ,      68 ,     0.0 ,        7 ,      27 ,Partly Cloudy           ,0.15202859655176046
10/30/21 ,      51 ,     0.0 ,       12 ,      18 ,Fair                    ,0.15190667176265768
12/8/21  ,      63 ,     0.0 ,        9 ,      76 ,Cloudy                  ,0.15184549532151534
2/23/21  ,      45 ,     0.0 ,       15 ,      23 ,Fair                    ,0.15174984427710306
5/20/21  ,      66 ,     0.0 ,        8 ,      60 ,Cloudy                  ,0.15137688531951268
4/22/21  ,      56 ,     0.0 ,       17 ,      63 ,Cloudy                  ,0.15010677862901087
12/19/21 ,      50 ,     0.0 ,       12 ,      46 ,Mostly Cloudy           ,0.1493281398832082
7/12/21  ,      79 ,     0.1 ,       18 ,      53 ,Cloudy                  ,0.14829711758077938
6/12/21  ,      79 ,     0.0 ,        3 ,      44 ,Partly Cloudy           ,0.14803002663977347
1/25/21  ,      68 ,     0.0 ,       12 ,      46 ,Cloudy                  ,0.14704628225205713
12/30/21 ,      67 ,     0.0 ,        9 ,      58 ,Partly Cloudy           ,0.14698601248837667
10/16/21 ,      63 ,     0.0 ,       13 ,      29 ,Fair                    ,0.14698113647606775
2/9/21   ,      64 ,     0.0 ,       10 ,      81 ,Cloudy                  ,0.14661613418001332
11/19/21 ,      50 ,     0.0 ,        3 ,      34 ,Fair                    ,0.14580988885344454
4/29/21  ,      75 ,     0.0 ,       13 ,      74 ,Cloudy                  ,0.14577086221671376
9/7/21   ,      77 ,     0.0 ,        9 ,      29 ,Partly Cloudy           ,0.14542060940520032
9/25/21  ,      65 ,     0.0 ,        7 ,      30 ,Partly Cloudy           ,0.14522889428901292
4/8/21   ,      61 ,     0.0 ,        5 ,      33 ,Fair                    ,0.14444728218134692
7/7/21   ,      75 ,     0.1 ,        3 ,      59 ,Mostly Cloudy           ,0.1443658300780906
11/9/21  ,      57 ,     0.0 ,       12 ,      60 ,Cloudy                  ,0.1442245582671823
1/24/21  ,      61 ,     0.0 ,       16 ,      74 ,Cloudy                  ,0.1441506288720408
4/27/21  ,      74 ,     0.0 ,       13 ,      74 ,Cloudy                  ,0.14224532888803726
2/8/21   ,      53 ,     0.0 ,       15 ,      65 ,Cloudy                  ,0.14219154408194853
12/1/21  ,      54 ,     0.0 ,        8 ,      44 ,Partly Cloudy           ,0.14153886323584777
1/3/21   ,      43 ,     0.0 ,       13 ,      37 ,Fair                    ,0.14152771199273215
3/15/21  ,      61 ,     0.0 ,       12 ,      69 ,Cloudy                  ,0.1414358498220559
3/21/21  ,      48 ,     0.0 ,       12 ,      49 ,Mostly Cloudy           ,0.14027233273433823
3/26/21  ,      58 ,     0.0 ,       13 ,      44 ,Fair                    ,0.1400814786011336
4/1/21   ,      53 ,     0.0 ,       10 ,      20 ,Fair                    ,0.13926280731612878
8/11/21  ,      82 ,     0.0 ,        3 ,      51 ,Mostly Cloudy           ,0.1386215930658558
10/8/21  ,      69 ,     0.0 ,        6 ,      39 ,Fair                    ,0.1384875700467698
7/24/21  ,      79 ,     0.0 ,        6 ,      44 ,Fair                    ,0.13838168163018758
2/1/21   ,      44 ,     0.0 ,        8 ,      22 ,Fair                    ,0.13789540421696683
5/6/21   ,      67 ,     0.0 ,       10 ,      32 ,Fair                    ,0.13747951550847323
10/10/21 ,      75 ,     0.0 ,       20 ,      65 ,Mostly Cloudy           ,0.13738076007185987
2/4/21   ,      61 ,     0.0 ,       20 ,      52 ,Mostly Cloudy           ,0.1371719985419036
10/5/21  ,      68 ,     0.0 ,        9 ,      30 ,Partly Cloudy           ,0.13712759831727606
4/20/21  ,      55 ,     0.0 ,        5 ,      26 ,Fair                    ,0.13701169725828952
6/26/21  ,      81 ,     0.1 ,       16 ,      43 ,Mostly Cloudy           ,0.13688222805598135
10/31/21 ,      53 ,     0.0 ,        6 ,      21 ,Fair                    ,0.1368408699844139
6/18/21  ,      75 ,     0.0 ,        6 ,      36 ,Fair                    ,0.13629661712260727
4/5/21   ,      62 ,     0.0 ,       17 ,      48 ,Partly Cloudy           ,0.13629555034016294
3/2/21   ,      49 ,     0.0 ,       13 ,      47 ,Fair                    ,0.13536859726434253
8/20/21  ,      82 ,     0.0 ,       14 ,      43 ,Partly Cloudy           ,0.13523765012931535
6/21/21  ,      82 ,     0.6 ,       16 ,      54 ,Mostly Cloudy           ,0.134902126703421
7/26/21  ,      79 ,     0.0 ,        7 ,      37 ,Fair                    ,0.13461707154900232
6/9/21   ,      81 ,     0.0 ,       12 ,      58 ,Partly Cloudy           ,0.1345509484006219
6/7/21   ,      81 ,     0.0 ,       18 ,      61 ,Cloudy                  ,0.13454345890047353
3/13/21  ,      66 ,     0.0 ,       18 ,      50 ,Mostly Cloudy           ,0.13327436183121302
8/17/21  ,      77 ,     0.0 ,        5 ,      63 ,Mostly Cloudy           ,0.13270460310888868
8/4/21   ,      78 ,     0.3 ,        9 ,      59 ,Cloudy                  ,0.13268568983238518
4/6/21   ,      69 ,     0.0 ,       21 ,      60 ,Mostly Cloudy / Windy   ,0.13254300203217215
9/24/21  ,      65 ,     0.0 ,        8 ,      29 ,Fair                    ,0.13183121820712584
2/3/21   ,      49 ,     0.0 ,       12 ,      56 ,Partly Cloudy           ,0.13174764767434796
6/1/21   ,      77 ,     0.0 ,        8 ,      54 ,Cloudy                  ,0.1314448911752287
7/8/21   ,      75 ,     0.3 ,       18 ,      67 ,Cloudy                  ,0.13072178322006825
5/14/21  ,      67 ,     0.0 ,        9 ,      38 ,Fair                    ,0.13056079792555353
4/13/21  ,      72 ,     0.0 ,        8 ,      67 ,Mostly Cloudy           ,0.13042514749567077
5/5/21   ,      63 ,     0.0 ,        8 ,      40 ,Fair                    ,0.13042064324531408
3/7/21   ,      47 ,     0.0 ,       14 ,      28 ,Fair                    ,0.13027625194786757
11/18/21 ,      56 ,     0.0 ,       17 ,      55 ,Mostly Cloudy           ,0.1299985977701441
