date     ,min_temp ,rainfall ,windspeed ,humidity ,cloudcover              ,OLS
1/15/21  ,      45 ,     0.0 ,       16 ,      24 ,Fair                    ,0.18565385876053148
6/19/21  ,      79 ,     0.0 ,        3 ,      37 ,Partly Cloudy           ,0.185091778700067
11/4/21  ,      52 ,     0.0 ,       15 ,      72 ,Cloudy                  ,0.18495322914931056
1/7/21   ,      45 ,     0.0 ,       16 ,      47 ,Partly Cloudy           ,0.18453225477015162
1/29/21  ,      45 ,     0.0 ,       14 ,      58 ,Partly Cloudy           ,0.18439803027407292
1/4/21   ,      49 ,     0.0 ,        3 ,      43 ,Fair                    ,0.18391399316682847
3/5/21   ,      55 ,     0.0 ,        9 ,      66 ,Mostly Cloudy           ,0.18133764366330496
12/9/21  ,      69 ,     0.0 ,       21 ,      57 ,Partly Cloudy / Windy   ,0.1802051142489216
10/30/21 ,      51 ,     0.0 ,       12 ,      18 ,Fair                    ,0.18019251970502145
2/23/21  ,      45 ,     0.0 ,       15 ,      23 ,Fair                    ,0.1799680716996663
12/19/21 ,      50 ,     0.0 ,       12 ,      46 ,Mostly Cloudy           ,0.17945723669726318
2/9/21   ,      64 ,     0.0 ,       10 ,      81 ,Cloudy                  ,0.17908454820360187
6/12/21  ,      79 ,     0.0 ,        3 ,      44 ,Partly Cloudy           ,0.17897818759590914
3/30/21  ,      66 ,     0.0 ,       21 ,      65 ,Mostly Cloudy / Windy   ,0.17863912479409555
2/21/21  ,      46 ,     0.0 ,       10 ,      51 ,Cloudy                  ,0.17591240382557852
6/4/21   ,      73 ,     0.3 ,        8 ,      71 ,Mostly Cloudy           ,0.17573855326741977
3/21/21  ,      48 ,     0.0 ,       12 ,      49 ,Mostly Cloudy           ,0.17524927690164863
10/6/21  ,      68 ,     0.0 ,        7 ,      27 ,Partly Cloudy           ,0.17440009269795978
4/28/21  ,      76 ,     0.0 ,       21 ,      67 ,Cloudy / Windy          ,0.17397109463101687
12/8/21  ,      63 ,     0.0 ,        9 ,      76 ,Cloudy                  ,0.17185142991739563
5/13/21  ,      65 ,     0.0 ,        7 ,      52 ,Cloudy                  ,0.1715830074427842
7/7/21   ,      75 ,     0.1 ,        3 ,      59 ,Mostly Cloudy           ,0.16984376185250896
5/20/21  ,      66 ,     0.0 ,        8 ,      60 ,Cloudy                  ,0.16979955083869275
9/7/21   ,      77 ,     0.0 ,        9 ,      29 ,Partly Cloudy           ,0.1697567928807482
2/1/21   ,      44 ,     0.0 ,        8 ,      22 ,Fair                    ,0.16946406990047475
10/16/21 ,      63 ,     0.0 ,       13 ,      29 ,Fair                    ,0.16868988725386722
11/19/21 ,      50 ,     0.0 ,        3 ,      34 ,Fair                    ,0.16780371902815347
10/31/21 ,      53 ,     0.0 ,        6 ,      21 ,Fair                    ,0.16742903022623107
4/22/21  ,      56 ,     0.0 ,       17 ,      63 ,Cloudy                  ,0.16674844198785624
9/25/21  ,      65 ,     0.0 ,        7 ,      30 ,Partly Cloudy           ,0.16620610500194982
1/3/21   ,      43 ,     0.0 ,       13 ,      37 ,Fair                    ,0.1647171144515287
8/27/21  ,      77 ,     0.8 ,       14 ,      57 ,Mostly Cloudy           ,0.16469924166597066
4/29/21  ,      75 ,     0.0 ,       13 ,      74 ,Cloudy                  ,0.16420863041948575
12/30/21 ,      67 ,     0.0 ,        9 ,      58 ,Partly Cloudy           ,0.16368050898605543
1/24/21  ,      61 ,     0.0 ,       16 ,      74 ,Cloudy                  ,0.1634952615123254
2/4/21   ,      61 ,     0.0 ,       20 ,      52 ,Mostly Cloudy           ,0.16312746964707905
4/1/21   ,      53 ,     0.0 ,       10 ,      20 ,Fair                    ,0.1627335715939883
2/8/21   ,      53 ,     0.0 ,       15 ,      65 ,Cloudy                  ,0.1621743216164569
4/5/21   ,      62 ,     0.0 ,       17 ,      48 ,Partly Cloudy           ,0.1613314665793125
8/20/21  ,      82 ,     0.0 ,       14 ,      43 ,Partly Cloudy           ,0.16126505944252997
4/27/21  ,      74 ,     0.0 ,       13 ,      74 ,Cloudy                  ,0.16122403330633714
4/20/21  ,      55 ,     0.0 ,        5 ,      26 ,Fair                    ,0.16100622913133802
7/12/21  ,      79 ,     0.1 ,       18 ,      53 ,Cloudy                  ,0.16064877171928385
8/11/21  ,      82 ,     0.0 ,        3 ,      51 ,Mostly Cloudy           ,0.1604498895979655
1/25/21  ,      68 ,     0.0 ,       12 ,      46 ,Cloudy                  ,0.16030526770151834
4/8/21   ,      61 ,     0.0 ,        5 ,      33 ,Fair                    ,0.16017210388934083
10/5/21  ,      68 ,     0.0 ,        9 ,      30 ,Partly Cloudy           ,0.159755124295901
7/24/21  ,      79 ,     0.0 ,        6 ,      44 ,Fair                    ,0.15975078957338146
12/1/21  ,      54 ,     0.0 ,        8 ,      44 ,Partly Cloudy           ,0.15966923173036993
10/8/21  ,      69 ,     0.0 ,        6 ,      39 ,Fair                    ,0.1594598126776103
11/9/21  ,      57 ,     0.0 ,       12 ,      60 ,Cloudy                  ,0.15913247771272085
4/6/21   ,      69 ,     0.0 ,       21 ,      60 ,Mostly Cloudy / Windy   ,0.1588289964310132
1/13/21  ,      39 ,     0.0 ,        8 ,      39 ,Fair                    ,0.1582507609904209
2/3/21   ,      49 ,     0.0 ,       12 ,      56 ,Partly Cloudy           ,0.15808369403611144
3/7/21   ,      47 ,     0.0 ,       14 ,      28 ,Fair                    ,0.15753906585976915
8/17/21  ,      77 ,     0.0 ,        5 ,      63 ,Mostly Cloudy           ,0.15740001963224626
6/26/21  ,      81 ,     0.1 ,       16 ,      43 ,Mostly Cloudy           ,0.15736854914582282
12/21/21 ,      42 ,     0.0 ,        5 ,      37 ,Fair                    ,0.1570700357513744
5/8/21   ,      67 ,     0.0 ,       21 ,      59 ,Mostly Cloudy / Windy   ,0.15706084429802916
3/26/21  ,      58 ,     0.0 ,       13 ,      44 ,Fair                    ,0.15674105482786668
3/15/21  ,      61 ,     0.0 ,       12 ,      69 ,Cloudy                  ,0.15658190049378923
5/6/21   ,      67 ,     0.0 ,       10 ,      32 ,Fair                    ,0.15655261842584434
3/2/21   ,      49 ,     0.0 ,       13 ,      47 ,Fair                    ,0.15596033733759523
7/26/21  ,      79 ,     0.0 ,        7 ,      37 ,Fair                    ,0.15480779728083577
9/24/21  ,      65 ,     0.0 ,        8 ,      29 ,Fair                    ,0.15479591891029146
6/18/21  ,      75 ,     0.0 ,        6 ,      36 ,Fair                    ,0.15460627047743825
11/2/21  ,      63 ,     0.0 ,        8 ,      52 ,Partly Cloudy           ,0.15409461704635796
6/9/21   ,      81 ,     0.0 ,       12 ,      58 ,Partly Cloudy           ,0.15388592479650465
4/26/21  ,      65 ,     0.0 ,       16 ,      45 ,Partly Cloudy           ,0.15352635534776563
1/2/21   ,      41 ,     0.0 ,        7 ,      42 ,Fair                    ,0.15344097450036345
10/10/21 ,      75 ,     0.0 ,       20 ,      65 ,Mostly Cloudy           ,0.1534260989193261
3/13/21  ,      66 ,     0.0 ,       18 ,      50 ,Mostly Cloudy           ,0.1524600269899133
4/13/21  ,      72 ,     0.0 ,        8 ,      67 ,Mostly Cloudy           ,0.15201075252319973
11/13/21 ,      48 ,     0.0 ,        8 ,      24 ,Fair                    ,0.15117231625577135
5/14/21  ,      67 ,     0.0 ,        9 ,      38 ,Fair                    ,0.15116520457484792
5/5/21   ,      63 ,     0.0 ,        8 ,      40 ,Fair                    ,0.15060645849868787
3/6/21   ,      54 ,     0.0 ,       13 ,      32 ,Fair                    ,0.1504490530009901
8/4/21   ,      78 ,     0.3 ,        9 ,      59 ,Cloudy                  ,0.1503550139173914
11/18/21 ,      56 ,     0.0 ,       17 ,      55 ,Mostly Cloudy           ,0.1501901650746734
7/8/21   ,      75 ,     0.3 ,       18 ,      67 ,Cloudy                  ,0.14980512615167235
10/22/21 ,      71 ,     0.0 ,        6 ,      49 ,Partly Cloudy           ,0.14919388971784733
11/22/21 ,      54 ,     0.0 ,       13 ,      37 ,Fair                    ,0.1491050289679292
6/21/21  ,      82 ,     0.6 ,       16 ,      54 ,Mostly Cloudy           ,0.14897613960024234
6/7/21   ,      81 ,     0.0 ,       18 ,      61 ,Cloudy                  ,0.14888311376253577
1/5/21   ,      51 ,     0.0 ,       13 ,      38 ,Fair                    ,0.14727618913731855
5/2/21   ,      72 ,     0.0 ,       16 ,      46 ,Partly Cloudy           ,0.14703825017684893
2/28/21  ,      71 ,     0.0 ,       17 ,      65 ,Partly Cloudy           ,0.14684543138248257
11/1/21  ,      59 ,     0.0 ,        9 ,      50 ,Partly Cloudy           ,0.14579065666649674
4/21/21  ,      49 ,     0.0 ,        9 ,      26 ,Fair                    ,0.14523136564199057
6/20/21  ,      80 ,     0.0 ,       10 ,      61 ,Cloudy                  ,0.14495131332030353
12/3/21  ,      62 ,     0.0 ,       10 ,      64 ,Mostly Cloudy           ,0.1438858413317047
